SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
0.0,0.0,4.6,0.0,10.38,0.0,0.0
0.0,0.0,4.5,0.0,10.73,0.0,0.0
0.0,0.0,4.5,0.0,10.47,0.0,0.0
0.0,0.0,5.3,0.0,10.45,0.0,0.0
0.0,0.0,4.7,0.0,10.25,0.0,0.0
57.0,0.0,4.7,0.0,11.02,0.0,0.0
162.0,0.0,5.2,0.0,12.1,0.0,0.0
235.0,0.0,5.2,0.0,13.08,0.0,0.0
236.0,0.0,5.3,0.0,13.71,0.0,0.0
241.0,0.0,5.6,0.0,14.14,0.0,0.0
243.0,0.0,5.8,0.0,14.08,0.0,0.0
199.0,0.0,6.0,0.0,13.93,0.0,0.0
136.0,0.0,5.1,0.0,13.26,0.0,0.0
47.0,0.0,5.1,0.0,12.47,0.0,0.0
0.0,0.0,4.6,0.0,12.05,0.0,0.0
0.0,0.0,4.4,0.0,11.61,0.0,0.0
0.0,0.0,4.8,0.0,11.19,0.0,0.0
0.0,0.0,4.2,0.0,10.57,0.0,0.0
0.0,0.0,4.0,0.0,10.37,0.0,0.0
0.0,0.0,3.8,0.0,10.08,0.0,0.0
0.0,0.0,4.1,0.0,10.38,0.0,0.0
0.0,0.0,4.2,0.0,10.67,0.0,0.0
0.0,0.0,4.4,0.0,10.71,0.0,0.0
0.0,0.0,3.5,0.0,10.42,0.0,0.0
0.0,0.0,3.7,0.0,10.42,83.33,8.6
0.0,0.0,3.4,0.0,10.2,31.2,3.0
0.0,0.0,2.6,0.0,10.02,0.0,0.0
0.0,0.0,1.0,0.0,9.6,0.0,0.0
0.0,0.0,0.2,0.0,9.22,0.0,0.0
27.0,0.0,0.6,0.0,9.62,0.0,0.0
94.0,0.0,1.9,0.0,10.61,0.0,0.0
188.0,0.0,3.0,0.0,12.24,0.0,0.0
218.0,0.0,4.5,0.0,13.99,0.0,0.0
231.0,0.0,5.1,0.0,14.5,0.0,0.0
234.0,0.0,5.1,0.0,15.08,0.0,0.0
316.0,0.0,6.4,0.0,15.22,0.0,0.0
193.0,0.0,5.8,0.0,14.86,0.0,0.0
74.0,0.0,5.6,0.0,14.31,0.0,0.0
7.0,0.0,4.3,0.0,12.93,0.0,0.0
0.0,0.0,4.0,0.0,11.98,0.0,0.0
0.0,0.0,3.8,0.0,11.44,0.0,0.0
0.0,0.0,4.4,0.0,11.58,0.0,0.0
0.0,0.0,3.9,0.0,11.29,0.0,0.0
0.0,0.0,4.0,0.0,10.92,0.0,0.0
0.0,0.0,4.1,0.0,10.87,0.0,0.0
0.0,0.0,3.3,0.0,10.68,0.0,0.0
0.0,0.0,4.0,0.0,11.05,0.0,0.0
0.0,0.0,3.9,0.0,10.94,0.0,0.0
0.0,0.0,3.5,0.0,10.67,0.0,0.0
0.0,0.0,2.8,0.0,10.39,0.0,0.0
0.0,0.0,2.3,0.0,9.99,0.0,0.0
0.0,0.0,2.4,0.0,9.98,0.0,0.0
0.0,0.0,2.4,0.0,10.01,0.0,0.0
33.0,0.0,2.5,0.0,10.54,14.53,1.3
218.0,0.0,3.2,0.0,12.84,0.0,0.0
333.0,0.0,3.6,0.0,15.31,0.0,0.0
299.0,0.0,4.0,0.0,16.41,0.0,0.0
293.0,0.0,4.3,0.0,16.99,0.0,0.0
367.0,0.0,4.0,0.0,17.65,0.0,0.0
353.0,0.0,4.1,0.0,17.76,0.0,0.0
243.0,0.0,4.2,0.0,17.3,0.0,0.0
89.0,0.0,3.8,0.0,16.04,0.0,0.0
7.0,0.0,3.6,0.0,14.61,0.0,0.0
0.0,0.0,3.7,0.0,13.82,0.0,0.0
0.0,0.0,3.8,0.0,13.38,0.0,0.0
0.0,0.0,3.7,0.0,12.96,0.0,0.0
0.0,0.0,3.1,0.0,12.65,0.0,0.0
0.0,0.0,2.9,0.0,12.47,0.0,0.0
0.0,0.0,1.5,0.0,11.88,0.0,0.0
0.0,0.0,2.2,0.0,12.33,0.0,0.0
0.0,0.0,1.4,0.0,12.35,0.0,0.0
0.0,0.0,0.4,0.0,11.36,0.0,0.0
0.0,0.0,0.4,0.0,10.02,0.0,0.0
0.0,0.0,0.2,0.0,9.77,0.0,0.0
0.0,0.0,0.1,0.0,10.22,0.0,0.0
0.0,0.0,0.2,0.0,10.36,0.0,0.0
0.0,0.0,1.5,0.0,10.86,0.0,0.0
52.0,0.0,0.5,0.0,11.0,0.0,0.0
134.0,0.0,1.6,0.0,13.01,0.0,0.0
166.0,0.0,2.0,0.0,14.43,0.0,0.0
153.0,0.0,2.6,0.0,15.87,0.0,0.0
262.0,0.0,3.3,0.0,17.37,0.0,0.0
188.0,0.0,3.1,0.0,17.5,0.0,0.0
159.0,0.0,2.6,0.0,17.15,0.0,0.0
91.0,0.0,1.8,0.0,16.56,0.0,0.0
29.0,0.0,2.5,0.0,15.91,0.0,0.0
